文字,超連結
2589. 完成所有任务的最少时间,https://leetcode.cn/problems/minimum-time-to-complete-all-tasks/
1323. 6 和 9 组成的最大数字,https://leetcode.cn/problems/maximum-69-number/
3216. 交换后字典序最小的字符串,https://leetcode.cn/problems/lexicographically-smallest-string-after-a-swap/
2697. 字典序最小回文串,https://leetcode.cn/problems/lexicographically-smallest-palindrome/
1881. 插入后的最大值,https://leetcode.cn/problems/maximum-value-after-insertion/
2734. 执行子串操作后的字典序最小字符串,https://leetcode.cn/problems/lexicographically-smallest-string-after-substring-operation/
1946. 子字符串突变后可能得到的最大整数,https://leetcode.cn/problems/largest-number-after-mutating-substring/
3517. 最小回文排列 I,https://leetcode.cn/problems/smallest-palindromic-rearrangement-i/
1663. 具有给定数值的最小字符串,https://leetcode.cn/problems/smallest-string-with-a-given-numeric-value/
1328. 破坏回文串,https://leetcode.cn/problems/break-a-palindrome/
2259. 移除指定数字得到的最大结果,https://leetcode.cn/problems/remove-digit-from-number-to-maximize-result/
2566. 替换一个数字后的最大差值,https://leetcode.cn/problems/maximum-difference-by-remapping-a-digit/
670. 最大交换,https://leetcode.cn/problems/maximum-swap/
3106. 满足距离约束且字典序最小的字符串,https://leetcode.cn/problems/lexicographically-smallest-string-after-operations-with-constraint/
1053. 交换一次的先前排列,https://leetcode.cn/problems/previous-permutation-with-one-swap/
2375. 根据模式串构造最小数字,https://leetcode.cn/problems/construct-smallest-number-from-di-string/
2182. 构造限制重复的字符串,https://leetcode.cn/problems/construct-string-with-repeat-limit/
738. 单调递增的数字,https://leetcode.cn/problems/monotone-increasing-digits/
3403. 从盒子中找出字典序最大的字符串 I,https://leetcode.cn/problems/find-the-lexicographically-largest-string-from-the-box-i/
3170. 删除星号以后字典序最小的字符串,https://leetcode.cn/problems/lexicographically-minimum-string-after-removing-stars/
1363. 形成三的最大倍数,https://leetcode.cn/problems/largest-multiple-of-three/
1754. 构造字典序最大的合并字符串,https://leetcode.cn/problems/largest-merge-of-two-strings/
1202. 交换字符串中的元素,https://leetcode.cn/problems/smallest-string-with-swaps/
2434. 使用机器人打印字典序最小的字符串,https://leetcode.cn/problems/using-a-robot-to-print-the-lexicographically-smallest-string/
1625. 执行操作后字典序最小的字符串,https://leetcode.cn/problems/lexicographically-smallest-string-after-applying-operations/
2948. 交换得到字典序最小的数组,https://leetcode.cn/problems/make-lexicographically-smallest-array-by-swapping-elements/
564. 寻找最近的回文数,https://leetcode.cn/problems/find-the-closest-palindrome/
1505. 最多 K 次交换相邻数位后得到的最小整数,https://leetcode.cn/problems/minimum-possible-integer-after-at-most-k-adjacent-swaps-on-digits/
2663. 字典序最小的美丽字符串,https://leetcode.cn/problems/lexicographically-smallest-beautiful-string/
3302. 字典序最小的合法序列,https://leetcode.cn/problems/find-the-lexicographically-smallest-valid-sequence/
