文字,超連結
2944. 购买水果需要的最少金币数,https://leetcode.cn/problems/minimum-number-of-coins-for-fruits/
1696. 跳跃游戏 VI,https://leetcode.cn/problems/jump-game-vi/
1425. 带限制的子序列和,https://leetcode.cn/problems/constrained-subsequence-sum/
375. 猜数字大小 II,https://leetcode.cn/problems/guess-number-higher-or-lower-ii/
1687. 从仓库到码头运输箱子,https://leetcode.cn/problems/delivering-boxes-from-storage-to-ports/
3117. 划分数组得到最小的值之和,https://leetcode.cn/problems/minimum-sum-of-values-by-dividing-array/
2945. 找到最大非递减数组的长度,https://leetcode.cn/problems/find-maximum-non-decreasing-array-length/
2969. 购买水果需要的最少金币数 II,https://leetcode.cn/problems/minimum-number-of-coins-for-fruits-ii/
1046. 最后一块石头的重量,https://leetcode.cn/problems/last-stone-weight/
3264. K 次乘运算后的最终数组 I,https://leetcode.cn/problems/final-array-state-after-k-multiplication-operations-i/
2558. 从数量最多的堆取走礼物,https://leetcode.cn/problems/take-gifts-from-the-richest-pile/
2336. 无限集中的最小数字,https://leetcode.cn/problems/smallest-number-in-infinite-set/
2530. 执行 K 次操作后的最大分数,https://leetcode.cn/problems/maximal-score-after-applying-k-operations/
3066. 超过阈值的最少操作数 II,https://leetcode.cn/problems/minimum-operations-to-exceed-threshold-value-ii/
1962. 移除石子使总数最小,https://leetcode.cn/problems/remove-stones-to-minimize-the-total/
703. 数据流中的第 K 大元素,https://leetcode.cn/problems/kth-largest-element-in-a-stream/
3275. 第 K 近障碍物查询,https://leetcode.cn/problems/k-th-nearest-obstacle-queries/
1845. 座位预约管理系统,https://leetcode.cn/problems/seat-reservation-manager/
2208. 将数组和减半的最少操作次数,https://leetcode.cn/problems/minimum-operations-to-halve-array-sum/
2233. K 次增加后的最大乘积,https://leetcode.cn/problems/maximum-product-after-k-increments/
3296. 移山所需的最少秒数,https://leetcode.cn/problems/minimum-number-of-seconds-to-make-mountain-height-zero/
1942. 最小未被占据椅子的编号,https://leetcode.cn/problems/the-number-of-the-smallest-unoccupied-chair/
1801. 积压订单中的订单总数,https://leetcode.cn/problems/number-of-orders-in-the-backlog/
2406. 将区间分为最少组数,https://leetcode.cn/problems/divide-intervals-into-minimum-number-of-groups/
2462. 雇佣 K 位工人的总代价,https://leetcode.cn/problems/total-cost-to-hire-k-workers/
1834. 单线程 CPU,https://leetcode.cn/problems/single-threaded-cpu/
3478. 选出和最大的 K 个元素,https://leetcode.cn/problems/choose-k-elements-with-maximum-sum/
1792. 最大平均通过率,https://leetcode.cn/problems/maximum-average-pass-ratio/
2931. 购买物品的最大开销,https://leetcode.cn/problems/maximum-spending-after-buying-items/
1882. 使用服务器处理任务,https://leetcode.cn/problems/process-tasks-using-servers/
2402. 会议室 III,https://leetcode.cn/problems/meeting-rooms-iii/
253. 会议室 II,https://leetcode.cn/problems/meeting-rooms-ii/
1167. 连接木棍的最低费用,https://leetcode.cn/problems/minimum-cost-to-connect-sticks/
23. 合并 K 个升序链表,https://leetcode.cn/problems/merge-k-sorted-lists/
355. 设计推特,https://leetcode.cn/problems/design-twitter/
502. IPO,https://leetcode.cn/problems/ipo/
1705. 吃苹果的最大数目,https://leetcode.cn/problems/maximum-number-of-eaten-apples/
778. 水位上升的泳池中游泳,https://leetcode.cn/problems/swim-in-rising-water/
1631. 最小体力消耗路径,https://leetcode.cn/problems/path-with-minimum-effort/
1354. 多次求和构造目标数组,https://leetcode.cn/problems/construct-target-array-with-multiple-sums/
1353. 最多可以参加的会议数目,https://leetcode.cn/problems/maximum-number-of-events-that-can-be-attended/
1235. 规划兼职工作,https://leetcode.cn/problems/maximum-profit-in-job-scheduling/
632. 最小区间,https://leetcode.cn/problems/smallest-range-covering-elements-from-k-lists/
2542. 最大子序列的分数,https://leetcode.cn/problems/maximum-subsequence-score/
1383. 最大的团队表现值,https://leetcode.cn/problems/maximum-performance-of-a-team/
2503. 矩阵查询可获得的最大分数,https://leetcode.cn/problems/maximum-number-of-points-from-grid-queries/
2163. 删除元素后和的最小差值,https://leetcode.cn/problems/minimum-difference-in-sums-after-removal-of-elements/
857. 雇佣 K 名工人的最低成本,https://leetcode.cn/problems/minimum-cost-to-hire-k-workers/
1606. 找到处理最多请求的服务器,https://leetcode.cn/problems/find-servers-that-handled-most-number-of-requests/
1851. 包含每个查询的最小区间,https://leetcode.cn/problems/minimum-interval-to-include-each-query/
218. 天际线问题,https://leetcode.cn/problems/the-skyline-problem/
407. 接雨水 II,https://leetcode.cn/problems/trapping-rain-water-ii/
2940. 找到 Alice 和 Bob 可以相遇的建筑,https://leetcode.cn/problems/find-building-where-alice-and-bob-can-meet/
3399. 字符相同的最短子字符串 II,https://leetcode.cn/problems/smallest-substring-with-identical-characters-ii/
2589. 完成所有任务的最少时间,https://leetcode.cn/problems/minimum-time-to-complete-all-tasks/
